phs000160,phs000160.v1.p1
phs000220,phs000220.v2.p2
phs000227,phs000227.v5.p3
phs000298,phs000298.v4.p3
phs000424,phs000424.v8.p2
phs000496,phs000496.v1.p1
phs000693,phs000693.v6.p2
phs000711,phs000711.v7.p2
phs000744,phs000744.v4.p2
phs000920,phs000920.v4.p2
phs000925,phs000925.v1.p1
phs000997,phs000997.v5.p2
phs001033,phs001033.v1.p1
phs001062,phs001062.v4.p2
phs001211,phs001211.v3.p2
phs001222,phs001222.v1.p1
phs001227,phs001227.v1.p1
phs001259,phs001259.v1.p1
phs001272,phs001272.v1.p1
phs001395,phs001395.v1.p1
phs001398,phs001398.v1.p1
phs001487,phs001487.v1.p1
phs001489,phs001489.v2.p2
phs001502,phs001502.v1.p1
phs001543,phs001543.v1.p1
phs001544,phs001544.v1.p1
phs001545,phs001545.v1.p1
phs001547,phs001547.v1.p1
phs001592,phs001592.v1.p1
phs001598,phs001598.v1.p1
phs001600,phs001600.v1.p1
phs001624,phs001624.v1.p1
phs001642,phs001642.v1.p1
phs001676,phs001676.v1.p1
phs001740,phs001740.v1.p1
phs001741,phs001741.v1.p1
phs001766,phs001766.v1.p1
phs001871,phs001871.v1.p1
phs001880,phs001880.v1.p1
phs001894,phs001894.v1.p1
phs001913,phs001913.v1.p1
phs002004,phs002004.v1.p1
phs002018,phs002018.v1.p1
phs002032,phs002032.v1.p1
phs002041,phs002041.v1.p1
phs002042,phs002042.v1.p1
phs002043,phs002043.v1.p1
phs002044,phs002044.v1.p1
phs002205,phs002205.v1.p1
phs002243,phs002243.v1.p1
phs000007,phs000007.v32.p13
phs000166,phs000166.v2.p1
phs000179,phs000179.v6.p2
phs000200,phs000200.v12.p3
phs000209,phs000209.v13.p3
phs000280,phs000280.v7.p1
phs000284,phs000284.v2.p1
phs000285,phs000285.v3.p2
phs000286,phs000286.v6.p2
phs000287,phs000287.v7.p1
phs000289,phs000289.v2.p1
phs000422,phs000422.v1.p1
phs000439,phs000439.v1.p1
phs000703,phs000703.v1.p1
phs000741,phs000741.v2.p1
phs000784,phs000784.v3.p1
phs000810,phs000810.v1.p1
phs000820,phs000820.v1.p1
phs000914,phs000914.v1.p1
phs000921,phs000921.v4.p1
phs000946,phs000946.v4.p1
phs000951,phs000951.v4.p4
phs000954,phs000954.v4.p2
phs000956,phs000956.v5.p1
phs000964,phs000964.v5.p1
phs000972,phs000972.v4.p1
phs000974,phs000974.v4.p3
phs000988,phs000988.v4.p1
phs000993,phs000993.v4.p2
phs001001,phs001001.v1.p1
phs001012,phs001012.v1.p1
phs001013,phs001013.v3.p2
phs001024,phs001024.v5.p1
phs001032,phs001032.v5.p2
phs001040,phs001040.v4.p1
phs001074,phs001074.v1.p1
phs001143,phs001143.v3.p1
phs001180,phs001180.v2.p1
phs001189,phs001189.v3.p1
phs001194,phs001194.v2.p2
phs001207,phs001207.v2.p1
phs001215,phs001215.v3.p2
phs001217,phs001217.v2.p1
phs001218,phs001218.v2.p1
phs001237,phs001237.v2.p1
phs001238,phs001238.v2.p1
phs001252,phs001252.v1.p1
phs001293,phs001293.v2.p1
phs001345,phs001345.v2.p1
phs001359,phs001359.v2.p1
phs001368,phs001368.v2.p2
phs001387,phs001387.v2.p1
phs001402,phs001402.v2.p1
phs001412,phs001412.v2.p1
phs001416,phs001416.v2.p1
phs001434,phs001434.v1.p1
phs001435,phs001435.v1.p1
phs001446,phs001446.v1.p1
phs001466,phs001466.v1.p1
phs001467,phs001467.v1.p1
phs001468,phs001468.v2.p1
phs001472,phs001472.v1.p1
phs001514,phs001514.v1.p1
phs001515,phs001515.v1.p1
phs001546,phs001546.v1.p1
phs001602,phs001602.v1.p1
phs001603,phs001603.v1.p1
phs001604,phs001604.v1.p1
phs001605,phs001605.v1.p1
phs001606,phs001606.v1.p1
phs001607,phs001607.v2.p2
phs001608,phs001608.v1.p1
phs001612,phs001612.v1.p1
phs001644,phs001644.v1.p1
phs001662,phs001662.v1.p1
phs001682,phs001682.v1.p1
phs001725,phs001725.v1.p1
phs001726,phs001726.v1.p1
phs001727,phs001727.v1.p1
phs001728,phs001728.v1.p1
phs001729,phs001729.v1.p1
phs001730,phs001730.v1.p1
phs001732,phs001732.v1.p1
phs001735,phs001735.v1.p1
phs001110,phs001110.v3.p1
phs001138,phs001138.v3.p2
phs001168,phs001168.v2.p2
phs001178,phs001178.v1.p1
phs001228,phs001228.v1.p1
phs001247,phs001247.v1.p1
phs001410,phs001410.v1.p1
phs001420,phs001420.v1.p1
phs001436,phs001436.v1.p1
phs001714,phs001714.v1.p1
phs001738,phs001738.v1.p1
phs001846,phs001846.v1.p1
phs001878,phs001878.v2.p1
phs001987,phs001987.v1.p1
phs001997,phs001997.v1.p1
phs002130,phs002130.v1.p1
phs002162,phs002162.v1.p1
phs002172,phs002172.v1.p1
phs000178,phs000178.v11.p8
phs000218,phs000218.v23.p8
phs000463,phs000463.v20.p8
phs000464,phs000464.v20.p8
phs000465,phs000465.v20.p8
phs000466,phs000466.v20.p8
phs000467,phs000467.v20.p8
phs000468,phs000468.v20.p8
phs000469,phs000469.v20.p8
phs000470,phs000470.v20.p8
phs000471,phs000471.v20.p8
phs000515,phs000515.v11.p5
phs000527,phs000527.v13.p4
phs000528,phs000528.v13.p4
phs000748,phs000748.v7.p4
phs000892,phs000892.v6.p1
phs001179,phs001179.v1.p1
phs001184,phs001184.v2.p2
phs001287,phs001287.v10.p5
phs001337,phs001337.v1.p1
phs001374,phs001374.v2.p1
phs001444,phs001444.v2.p1
phs001486,phs001486.v2.p2
phs001611,phs001611.v1.p1
phs001628,phs001628.v1.p1
phs001648,phs001648.v2.p1
phs001657,phs001657.v1.p1
phs001709,phs001709.v1.p1
phs001799,phs001799.v1.p1
phs001931,phs001931.v1.p1
